,中文文本,英文,西文,,
channelType,頻道類型,Channel Category,Categoría,,
subscriberCount,訂閱數,Subscribers,Suscriptores,,
totalViewCount,總觀看數,Total Views,Vistas Totales,,
totalEngegementCount,總互動數,Total Engagements,La tasa de interacción,,
avgEngageRate,平均互動率,Avg Engagement,La tasa de interacción media,,
videoCount,影片總數,Total videos,Número de videos,,
recentAvgViewCount,近20支平均觀看數,Avg views of 20 videos,Vistas prom. de los últimos 20 vídeos,太長惹,
recentAvgEngageRate,近20支平均互動率,Avg eng of 20 videos,Interacción media de los último 20 vídeos,太長惹,
twoMonthAvgViewCount,近2個月平均觀看數,Avg views in last 2 month,Vistas prom. en los últimos 2 meses,太長惹,
twoMonthAvgEngageRate,近2個月平均互動率,Avg eng in last 2 month,Interacción media de los último 20 vídeos,太長惹,
todaySubscriberCount,日訂閱數,Daily Subscribers,Suscriptores Diarios,,
todaySubscriberRate,日訂閱成長率,Daily Subscriptions Growth,Crecimiento de suscriptores diarios,,
todayViewCount,日觀看數,Daily Views,Vistas Diarias,,
todayViewRate,日觀看成長率,Daily Views Growth,Crecimineto de vistas diarias,,
monthSubscriberCount,月訂閱數,Monthly Subscribers,Suscriptores Mensuales,,
monthSubscriberRate,月訂閱成長率,Monthly Subscriptions Growth,Crecimiento mensual de suscriptores ,,
monthViewCount,月觀看數,Monthly Views,Visualizaciones de mes,,
monthViewRate,月觀看成長率,Monthly Views Growth,Crecimiento de visualizaciones de mes,,
,,,,,
nav_service,服務與方案,Pricing,Precio,,
nav_pricing,付費方案,Pricing,Precio,,
nav_contact,聯絡我們,Contact,Contáctenos,,
nav_start,開始使用,Start,Empice Ya,,
nav_user_login,帳號登入,Login,Inciar Seción,,
nav_googlelogin,使用 Google 帳號登入,Login with Google,Inciar seción con Google,,
nav_email,Email 帳號,Email,Email,,
nav_password,密碼,Password,Contraseña,,
nav_login,登入,Login,Inciar Sesión,,
,,,,,
user_givememoneyfirst,請先升級方案以使用,Please upgrade account plan to use,Actualizar ahora,,
user_check_pricing,查看方案,Check Pricing,Precio,,
user_not_now,不是現在,Not Now,Ahora no,,
user_unlock_data,升級以獲得資料,Unlock Data,Actualizar ahora,,
,,,,,
user_forget_password,忘記密碼,Forgot password,Olvidé mi contraseña,,
user_your_email,輸入信箱以取得密碼,your email,Correo electrónico,,
user_send_email,發送信件,Send verify mail,Envía el correo de verificación,*padding 20 更改,
,,,,,
user_fast_signup,快速註冊,Sign up,Registrarse,,
user_googlesignup,使用 Google 帳號註冊,Sign up with Google,Regístrase con Google,,
user_email_signup,Email （作為帳號與收取驗證信）,Email (Your account and receiving a verification email),La dirección de email (para ser su cuenta y recibir el correo de verificación),,
user_password_signup,密碼（限制8 - 24位英文與數字）,Password (8-24 characters),Contraseña (8-24 caracteres de longitud),,
user_confirm_password,請再次輸入密碼,Confirm password,Confirmar la contraseña,,
user_signup,註冊,Sign up,Registrarse,,
user_already_signup,已經註冊過了?,Already Sign up?,¿Ya te registaste?,,
user_has_been_taken,email已被使用,Email has been taken,El email ya esta en uso,,
user_has_not_been_taken,此信箱尚未註冊,Email has not  been taken,Correo electrónico válido,,
user_signup_success,註冊成功，請至信箱收取驗證信,Sign up success. Please check your email to verify.,¡Registro exitoso! Compruebe si recibiste el correo de verificación.,,
user_email_verify,驗證信發送成功，請至信箱收件,The mail has been sent! Please check to verify.,Compruebe si recibiste el correo electrónicode veriificación.,,
user_terms_agree,我同意,I agree,Acepeto,,
,,,,,
user_invalid_account_or_password,密碼錯誤，檢查或點選下方忘記密碼,"Invalid password, recheck or click Forget password",La contraseña no es válida. ¿Olvidaste la contraseña?,,
user_account_not_verifiied,帳號未驗證，請至信箱收取驗證信,The account has not been verified. Please check your email to verify.,La cuenta no esta verificada.Compruebe si recibiste el correo electrónicode veriificación.,,
user_correct_email_format,請輸入正確的email格式,Please enter the correct email format.,Compruebe si el e-mail que has introducido es correcto,,
user_account_not_exist,此帳號不存在,This account doesn’t exist.,El usuario no existe.,,
,,,,,
user_active_verifying,資料驗證中...請稍後,Verifying ... Please wait,"Espere, por favor.",,
,,,,,
slide_ranking,排行榜,Ranking,Ranking,,
slide_search,網紅檢索,Search,Buscar,,
slide_project_management,提案管理,Proposals,Propuesta,,
slide_lottery,抽獎助手,Comment Picker,Sorteo de comentarios,太長惹,
,,,,,
404_coming_soon_01,Oops! 404 Error.,Oops! 404 Error.,"Uy, Error 404.",,
404_coming_soon_02,頁面不存在,Page not found.,PÁGINA NO ENCONTRADA,,
404_comingsoon_01,為了服務品牌、代理商以及 YouTube 創作者（YouTuber），,"For service brands, agencies and YouTubers, ","Ofrecemos servicios de analíticas de redes sociales para las marcas, agencias y los influencers.",,
404_comingsoon_02,InteRed將提供創作者檢索、數據圖表、提案管理等功能，,"InteRed provides tools like influencers searching, data graphics and project management","Ofrecemos una herramienta para buscar el youtuber, reportar los datos, gestionar las propuestas.",,
